x,y,z_reported,z_down,z_up,bias,down_spread,up_spread,reps,freq
60.000,60.000,0.121425,0.117056,0.125795,0.008739,0.000000,0.000000,1,172.90
60.000,60.000,0.120008,0.114581,0.125435,0.010853,0.000000,0.000000,1,172.90
60.000,60.000,0.123269,0.115257,0.131282,0.016025,0.000000,0.000000,1,172.90
60.743,60.000,0.033431,0.098083,-0.031221,-0.129304,0.000000,0.000000,1,214.04
60.743,60.000,0.016424,0.085369,-0.052520,-0.137889,0.000000,0.000000,1,214.04
60.000,60.000,0.116908,0.116451,0.117365,0.000914,0.000000,0.000000,1,214.00
60.000,60.000,0.109457,0.110900,0.108015,-0.002885,0.000000,0.000000,1,214.00
60.000,60.000,0.110786,0.106499,0.115072,0.008574,0.000000,0.000000,1,214.00
60.000,60.000,0.108037,0.107657,0.108418,0.000761,0.000000,0.000000,1,214.00
60.000,60.000,0.108902,0.103867,0.113936,0.010069,0.000000,0.000000,1,214.00
60.000,60.000,0.107502,0.103296,0.111709,0.008413,0.000000,0.000000,1,214.00
60.000,60.000,0.108729,0.102452,0.115005,0.012553,0.000000,0.000000,1,214.00
60.000,60.000,0.107119,0.104501,0.109737,0.005236,0.000000,0.000000,1,214.00
60.000,60.000,0.107114,0.102605,0.111623,0.009017,0.000000,0.000000,1,214.00
60.000,60.000,0.108914,0.103351,0.114477,0.011126,0.000000,0.000000,1,214.00
60.000,60.000,0.113766,0.112339,0.115193,0.002854,0.000000,0.000000,1,214.00
60.000,60.000,0.111054,0.106464,0.115643,0.009179,0.000000,0.000000,1,214.00
60.000,60.000,0.111512,0.105760,0.117265,0.011505,0.000000,0.000000,1,214.00
60.000,60.000,0.109725,0.105477,0.113973,0.008496,0.000000,0.000000,1,214.00
60.000,60.000,0.112544,0.105433,0.119655,0.014222,0.000000,0.000000,1,214.00
60.000,60.000,0.110618,0.103842,0.117394,0.013552,0.000000,0.000000,1,214.00
60.000,60.000,0.109853,0.104044,0.115661,0.011617,0.000000,0.000000,1,214.00
60.000,60.000,0.108716,0.101410,0.116021,0.014612,0.000000,0.000000,1,214.00
60.000,60.000,0.110924,0.103866,0.117982,0.014116,0.000000,0.000000,1,214.00
60.000,60.000,0.110610,0.105133,0.116088,0.010955,0.000000,0.000000,1,214.00
60.000,60.000,0.117336,0.124107,0.110564,-0.013543,0.000000,0.000000,1,214.00
60.000,60.000,0.107732,0.109862,0.105603,-0.004260,0.000000,0.000000,1,214.00
60.000,60.000,0.107154,0.108480,0.105827,-0.002652,0.000000,0.000000,1,214.00
60.000,60.000,0.108151,0.105486,0.110816,0.005330,0.000000,0.000000,1,214.00
60.000,60.000,0.106220,0.107414,0.105027,-0.002387,0.000000,0.000000,1,214.00
60.000,60.000,0.110536,0.108855,0.112218,0.003363,0.000000,0.000000,1,214.00
60.000,60.000,0.110562,0.109232,0.111891,0.002659,0.000000,0.000000,1,214.00
60.000,60.000,0.110958,0.111675,0.110241,-0.001435,0.000000,0.000000,1,214.00
60.000,60.000,0.107223,0.107317,0.107128,-0.000189,0.000000,0.000000,1,214.00
60.000,60.000,0.107292,0.105346,0.109238,0.003892,0.000000,0.000000,1,214.00
60.000,60.000,0.109423,0.106579,0.112268,0.005689,0.000000,0.000000,1,214.00
60.000,60.000,0.108864,0.109456,0.108272,-0.001185,0.000000,0.000000,1,214.00
60.000,60.000,0.109796,0.108933,0.110659,0.001726,0.000000,0.000000,1,214.00
60.000,60.000,0.107212,0.108495,0.105929,-0.002567,0.000000,0.000000,1,214.00
60.000,60.000,0.110771,0.105898,0.115644,0.009746,0.000000,0.000000,1,214.00
60.000,60.000,0.105650,0.105984,0.105316,-0.000668,0.000000,0.000000,1,214.00
60.000,60.000,0.111279,0.105762,0.116796,0.011035,0.000000,0.000000,1,214.00
60.000,60.000,0.106555,0.106546,0.106564,0.000018,0.000000,0.000000,1,214.00
60.000,60.000,0.107275,0.106692,0.107857,0.001165,0.000000,0.000000,1,214.00
60.000,60.000,0.110866,0.109252,0.112480,0.003227,0.000000,0.000000,1,214.00
60.000,60.000,0.091222,0.086009,0.096436,0.010427,0.000000,0.000000,1,214.00
60.000,60.000,0.093189,0.089272,0.097107,0.007835,0.000000,0.000000,1,214.00
60.000,60.000,0.090603,0.085915,0.095291,0.009376,0.000000,0.000000,1,214.00
60.000,60.000,0.086882,0.081078,0.092686,0.011608,0.000000,0.000000,1,214.00
60.000,60.000,0.092156,0.086743,0.097568,0.010825,0.000000,0.000000,1,214.00
60.000,60.000,0.085408,0.080350,0.090467,0.010117,0.000000,0.000000,1,214.00
60.000,60.000,0.082039,0.077866,0.086212,0.008347,0.000000,0.000000,1,214.00
60.000,60.000,0.089464,0.084534,0.094393,0.009860,0.000000,0.000000,1,214.00
60.000,60.000,0.082074,0.077902,0.086246,0.008344,0.000000,0.000000,1,214.00
60.000,60.000,0.083596,0.079104,0.088088,0.008983,0.000000,0.000000,1,214.00
60.000,60.000,0.087222,0.080779,0.093666,0.012887,0.000000,0.000000,1,214.00
60.000,60.000,0.092333,0.085432,0.099234,0.013801,0.000000,0.000000,1,214.00
60.000,60.000,0.090546,0.084395,0.096697,0.012303,0.000000,0.000000,1,214.00
60.000,60.000,0.090335,0.084029,0.096641,0.012611,0.000000,0.000000,1,214.00
60.000,60.000,0.088167,0.083147,0.093186,0.010039,0.000000,0.000000,1,214.00
60.000,60.000,0.087874,0.082061,0.093687,0.011626,0.000000,0.000000,1,214.00
60.000,60.000,0.088878,0.082743,0.095013,0.012270,0.000000,0.000000,1,214.00
60.000,60.000,0.089099,0.080747,0.097451,0.016704,0.000000,0.000000,1,214.00
60.000,60.000,0.086446,0.082381,0.090511,0.008131,0.000000,0.000000,1,214.00
60.000,60.000,0.090972,0.085073,0.096871,0.011798,0.000000,0.000000,1,214.00
60.000,60.000,0.095392,0.094819,0.095966,0.001147,0.000000,0.000000,1,214.00
60.000,60.000,0.089822,0.089335,0.090309,0.000974,0.000000,0.000000,1,214.00
60.000,60.000,0.088035,0.084857,0.091213,0.006356,0.000000,0.000000,1,214.00
60.000,60.000,0.086816,0.083615,0.090017,0.006402,0.000000,0.000000,1,214.00
60.000,60.000,0.085224,0.082658,0.087789,0.005131,0.000000,0.000000,1,214.00
60.000,60.000,0.084625,0.081028,0.088223,0.007195,0.000000,0.000000,1,214.00
60.000,60.000,0.086792,0.082891,0.090693,0.007802,0.000000,0.000000,1,214.00
60.000,60.000,0.086826,0.083019,0.090634,0.007615,0.000000,0.000000,1,214.00
60.000,60.000,0.086995,0.083922,0.090068,0.006146,0.000000,0.000000,1,214.00
60.000,60.000,0.088430,0.081724,0.095136,0.013412,0.000000,0.000000,1,214.00
60.000,60.000,0.086332,0.082637,0.090028,0.007390,0.000000,0.000000,1,214.00
60.000,60.000,0.090564,0.086739,0.094390,0.007651,0.000000,0.000000,1,214.00
